symbol,datetime,Open,High,Low,Close,Volume
Q_NF1,20200731 10:32:00,11115.55,11124.75,11115.55,11119.9,3962925
Q_NF1,20200731 10:33:00,11119.95,11121.35,11110.2,11111.0,3978375
Q_NF1,20200731 10:34:00,11110.0,11121.1,11110.0,11119.0,4047900
Q_NF1,20200731 10:35:00,11119.0,11119.0,11100.1,11102.75,4082700
Q_NF1,20200731 10:36:00,11102.65,11103.75,11097.65,11101.0,4111950
Q_NF1,20200731 10:37:00,11101.85,11112.05,11100.0,11111.95,4230300
Q_NF1,20200731 10:38:00,11112.0,11112.85,11105.0,11109.85,4272600
Q_NF1,20200731 10:39:00,11110.1,11110.1,11105.0,11106.0,4283250
Q_NF1,20200731 10:40:00,11105.85,11113.0,11101.0,11112.9,4310475
Q_NF1,20200731 10:41:00,11113.05,11118.0,11108.7,11115.0,4334250
Q_NF1,20200731 10:42:00,11115.55,11118.7,11111.25,11116.3,4362600
Q_NF1,20200731 10:43:00,11116.3,11120.0,11112.45,11116.0,4406400
Q_NF1,20200731 10:44:00,11116.0,11120.0,11115.8,11118.0,4417050
Q_NF1,20200731 10:45:00,11118.5,11125.0,11115.3,11121.2,4445700
Q_NF1,20200731 10:46:00,11122.65,11123.35,11117.0,11117.55,4458075
Q_NF1,20200731 10:47:00,11117.0,11123.0,11116.0,11116.55,4472775
Q_NF1,20200731 10:48:00,11116.7,11116.7,11106.95,11109.0,4498275
Q_NF1,20200731 10:49:00,11110.0,11113.35,11103.55,11113.35,4520475
Q_NF1,20200731 10:50:00,11111.75,11115.3,11110.0,11113.1,4534275
Q_NF1,20200731 10:51:00,11111.4,11119.0,11111.0,11119.0,4544025
Q_NF1,20200731 10:52:00,11116.35,11122.0,11116.15,11118.85,4560975
Q_NF1,20200731 10:53:00,11118.85,11123.0,11118.85,11122.7,4584825
Q_NF1,20200731 10:54:00,11123.0,11124.0,11115.0,11121.0,4607625
Q_NF1,20200731 10:55:00,11121.0,11124.0,11118.0,11119.15,4620675
Q_NF1,20200731 10:56:00,11118.0,11121.25,11115.0,11116.75,4640625
Q_NF1,20200731 10:57:00,11116.75,11117.3,11110.85,11113.4,4660125
Q_NF1,20200731 10:58:00,11114.0,11120.95,11112.65,11115.5,4672725
Q_NF1,20200731 10:59:00,11115.5,11119.0,11108.0,11109.9,4686975
Q_NF1,20200731 11:00:00,11108.5,11115.5,11108.0,11111.95,4703400
Q_NF1,20200731 11:01:00,11110.9,11119.75,11110.9,11115.2,4715025
Q_NF1,20200731 11:02:00,11115.0,11115.2,11106.45,11108.0,4726500
Q_NF1,20200731 11:03:00,11107.85,11116.35,11107.65,11115.0,4746150
Q_NF1,20200731 11:04:00,11114.75,11118.95,11114.0,11116.0,4753575
Q_NF1,20200731 11:05:00,11115.0,11117.0,11108.4,11117.0,4763325
Q_NF1,20200731 11:06:00,11116.0,11117.75,11111.0,11111.0,4771275
Q_NF1,20200731 11:07:00,11111.0,11114.75,11108.0,11112.85,4794975
Q_NF1,20200731 11:08:00,11111.7,11115.0,11109.5,11111.5,4800825
Q_NF1,20200731 11:09:00,11111.5,11111.5,11105.0,11105.0,4823850
Q_NF1,20200731 11:10:00,11105.0,11106.0,11090.05,11096.15,4929300
Q_NF1,20200731 11:11:00,11096.25,11103.0,11094.45,11100.1,4967925
Q_NF1,20200731 11:12:00,11099.95,11103.05,11094.3,11101.85,4983825
Q_NF1,20200731 11:13:00,11100.35,11105.65,11098.35,11099.0,5005950
Q_NF1,20200731 11:14:00,11099.0,11101.45,11096.25,11100.0,5025750
Q_NF1,20200731 11:15:00,11099.55,11110.0,11099.55,11106.0,5043600
Q_NF1,20200731 11:16:00,11106.0,11106.5,11103.75,11103.8,5052975
Q_NF1,20200731 11:17:00,11103.8,11108.35,11100.6,11104.45,5074575
Q_NF1,20200731 11:18:00,11104.45,11105.35,11099.65,11101.3,5098725
Q_NF1,20200731 11:19:00,11101.3,11104.5,11096.85,11097.0,5121300
Q_NF1,20200731 11:20:00,11096.0,11102.0,11095.3,11095.3,5134425
Q_NF1,20200731 11:21:00,11096.25,11101.45,11095.0,11098.9,5146125
Q_NF1,20200731 11:22:00,11099.25,11099.25,11091.05,11091.05,5173275
Q_NF1,20200731 11:23:00,11090.15,11094.4,11090.0,11091.8,5209875
Q_NF1,20200731 11:24:00,11090.3,11095.35,11090.3,11092.6,5249175
Q_NF1,20200731 11:25:00,11091.15,11094.9,11084.0,11085.7,5284350
Q_NF1,20200731 11:26:00,11085.7,11092.2,11081.3,11082.95,5334675
Q_NF1,20200731 11:27:00,11081.0,11081.5,11072.05,11075.15,5440125
Q_NF1,20200731 11:28:00,11073.0,11078.8,11071.05,11073.0,5484300
Q_NF1,20200731 11:29:00,11073.0,11077.0,11070.9,11075.0,5544900
Q_NF1,20200731 11:30:00,11075.0,11075.0,11056.55,11064.7,5696250
Q_NF1,20200731 11:31:00,11065.2,11072.7,11063.0,11071.0,5734800
Q_NF1,20200731 11:32:00,11070.65,11075.7,11068.15,11073.7,5776050
Q_NF1,20200731 11:33:00,11074.0,11079.0,11071.85,11077.25,5806200
Q_NF1,20200731 11:34:00,11075.9,11078.0,11072.0,11073.85,5825775
Q_NF1,20200731 11:35:00,11073.85,11084.8,11073.85,11084.0,5852850
Q_NF1,20200731 11:36:00,11082.9,11086.8,11078.0,11080.85,5883900
Q_NF1,20200731 11:37:00,11080.85,11083.0,11073.2,11073.2,5898300
Q_NF1,20200731 11:38:00,11072.1,11081.0,11071.7,11080.0,5912925
Q_NF1,20200731 11:39:00,11080.35,11084.9,11080.0,11083.6,5927775
Q_NF1,20200731 11:40:00,11082.0,11085.3,11081.0,11082.2,5945400
Q_NF1,20200731 11:41:00,11082.4,11089.0,11081.5,11081.5,5965875
Q_NF1,20200731 11:42:00,11081.5,11085.05,11073.2,11077.05,5982900
Q_NF1,20200731 11:43:00,11078.6,11079.8,11075.0,11076.1,5992050
Q_NF1,20200731 11:44:00,11077.25,11077.7,11067.95,11068.0,6023475
Q_NF1,20200731 11:45:00,11067.55,11069.3,11061.65,11066.45,6067650
Q_NF1,20200731 11:46:00,11066.7,11071.95,11061.6,11069.0,6099525
Q_NF1,20200731 11:47:00,11070.0,11078.0,11068.15,11076.0,6119100
Q_NF1,20200731 11:48:00,11075.35,11079.9,11071.15,11079.9,6135600
Q_NF1,20200731 11:49:00,11079.9,11082.55,11075.2,11076.2,6157575
Q_NF1,20200731 11:50:00,11075.9,11081.0,11074.0,11081.0,6174825
Q_NF1,20200731 11:51:00,11079.95,11082.0,11077.7,11081.95,6185550
Q_NF1,20200731 11:52:00,11081.95,11082.0,11078.0,11080.65,6193425
Q_NF1,20200731 11:53:00,11081.5,11099.9,11081.0,11098.0,6263400
Q_NF1,20200731 11:54:00,11097.25,11099.0,11091.0,11093.25,6285450
Q_NF1,20200731 11:55:00,11092.95,11098.0,11091.8,11097.0,6302175
Q_NF1,20200731 11:56:00,11097.0,11097.0,11091.0,11094.15,6322500
Q_NF1,20200731 11:57:00,11094.1,11098.0,11093.1,11097.35,6333300
Q_NF1,20200731 11:58:00,11097.35,11097.35,11091.0,11091.2,6348825
Q_NF1,20200731 11:59:00,11091.2,11093.1,11087.65,11089.35,6363900
Q_NF1,20200731 12:00:00,11089.4,11092.0,11082.55,11082.55,6387000
Q_NF1,20200731 12:01:00,11083.95,11093.9,11082.4,11093.9,6400950
Q_NF1,20200731 12:02:00,11094.0,11097.0,11092.15,11092.8,6412275
Q_NF1,20200731 12:03:00,11092.8,11098.65,11092.8,11097.35,6428925
Q_NF1,20200731 12:04:00,11094.5,11106.95,11094.4,11106.0,6493125
Q_NF1,20200731 12:05:00,11105.25,11112.9,11103.4,11111.0,6562950
Q_NF1,20200731 12:06:00,11111.0,11111.25,11103.6,11104.75,6592950
Q_NF1,20200731 12:07:00,11103.3,11105.9,11100.0,11100.3,6610800
Q_NF1,20200731 12:08:00,11102.0,11110.0,11100.3,11108.0,6644325
Q_NF1,20200731 12:09:00,11108.0,11110.0,11102.0,11102.0,6660750
